PCA1_u,PCA2_u,PCA1_v,PCA2_v
-0.027102826499962037,-0.05751001091267757,-0.027102826499962037,-0.05751001091267757
-0.025361338183182827,-0.0596006332754594,-0.025361338183182827,-0.0596006332754594
-0.02369574209344789,-0.06119116472930566,-0.02369574209344789,-0.06119116472930566
-0.029413503299370723,-0.05501567500155209,-0.029413503299370723,-0.05501567500155209
-0.02793353198435829,-0.05802622932163293,-0.02793353198435829,-0.05802622932163293
-0.026288277443765766,-0.06015571216340156,-0.026288277443765766,-0.06015571216340156
-0.024429895988743365,-0.06146893329225243,-0.024429895988743365,-0.06146893329225243
-0.031245208075551315,-0.051728693114858344,-0.031245208075551315,-0.051728693114858344
-0.030149339176125462,-0.05603774618020905,-0.030149339176125462,-0.05603774618020905
-0.028736808427326944,-0.058973793172646144,-0.028736808427326944,-0.058973793172646144
-0.02713367289533577,-0.06095901689684862,-0.02713367289533577,-0.06095901689684862
-0.025333030533587604,-0.062003593446822734,-0.025333030533587604,-0.062003593446822734
-0.032538902539820516,-0.047399319499272584,-0.032538902539820516,-0.047399319499272584
-0.03210573843475622,-0.0530160805389784,-0.03210573843475622,-0.0530160805389784
-0.030972219979872106,-0.05710876686023057,-0.030972219979872106,-0.05710876686023057
-0.029620569026078753,-0.06000066211066085,-0.029620569026078753,-0.06000066211066085
-0.02789374069680658,-0.06169887452442192,-0.02789374069680658,-0.06169887452442192
-0.026261931228850604,-0.06255133110625274,-0.026261931228850604,-0.06255133110625274
-0.033941301761228566,-0.043233608053425715,-0.033941301761228566,-0.043233608053425715
-0.03363188487698694,-0.049221154166501066,-0.03363188487698694,-0.049221154166501066
-0.032897377243252555,-0.05403127648693278,-0.032897377243252555,-0.05403127648693278
-0.03153382098361629,-0.05778466160350853,-0.03153382098361629,-0.05778466160350853
-0.03032424808122891,-0.06047755836252584,-0.03032424808122891,-0.06047755836252584
-0.028640783463820027,-0.06204271943391052,-0.028640783463820027,-0.06204271943391052
-0.027036391825879635,-0.0628217010048901,-0.027036391825879635,-0.0628217010048901
-0.02325229627254476,-0.00023963486613643646,-0.02325229627254476,-0.00023963486613643646
-0.023766120133568474,-0.0021326281011076207,-0.023766120133568474,-0.0021326281011076207
-0.025391095078653298,-0.005453144493658829,-0.025391095078653298,-0.005453144493658829
-0.027764048758109002,-0.009879710474576774,-0.027764048758109002,-0.009879710474576774
-0.03023035945364919,-0.015991502367378417,-0.03023035945364919,-0.015991502367378417
-0.03286288340607098,-0.023550698435385858,-0.03286288340607098,-0.023550698435385858
-0.03441243597693301,-0.031490470886786005,-0.03441243597693301,-0.031490470886786005
-0.03493337139587521,-0.03836017041682025,-0.03493337139587521,-0.03836017041682025
-0.034764663144733324,-0.044730598248496845,-0.034764663144733324,-0.044730598248496845
-0.03420786593985614,-0.05008126862852589,-0.03420786593985614,-0.05008126862852589
-0.03340206651789149,-0.05468623913032239,-0.03340206651789149,-0.05468623913032239
-0.03224664166854897,-0.05823125048929158,-0.03224664166854897,-0.05823125048929158
-0.030958498391096944,-0.06088297321625677,-0.030958498391096944,-0.06088297321625677
-0.02933885544005194,-0.062190080036493296,-0.02933885544005194,-0.062190080036493296
-0.02785531185545937,-0.06290688377109482,-0.02785531185545937,-0.06290688377109482
-0.025026633350192205,0.004810158919480198,-0.025026633350192205,0.004810158919480198
-0.02659608211577475,0.0017140723008268824,-0.02659608211577475,0.0017140723008268824
-0.027928097156073643,-0.0014219498916858287,-0.027928097156073643,-0.0014219498916858287
-0.02928441440317767,-0.004283706290520196,-0.02928441440317767,-0.004283706290520196
-0.030797381676629154,-0.008631892588138963,-0.030797381676629154,-0.008631892588138963
-0.0325112037260126,-0.014114450016273835,-0.0325112037260126,-0.014114450016273835
-0.034224137259493914,-0.02038039675989169,-0.034224137259493914,-0.02038039675989169
-0.03556795608034334,-0.02713555899700699,-0.03556795608034334,-0.02713555899700699
-0.036215116103486975,-0.03417733501531705,-0.036215116103486975,-0.03417733501531705
-0.03607447066766033,-0.04056481635533101,-0.03607447066766033,-0.04056481635533101
-0.03571260339419859,-0.04624660670443329,-0.03571260339419859,-0.04624660670443329
-0.03511302361971112,-0.051230413829446236,-0.03511302361971112,-0.051230413829446236
-0.03416164399696967,-0.05537783601633416,-0.03416164399696967,-0.05537783601633416
-0.03282830550239913,-0.05854970702978297,-0.03282830550239913,-0.05854970702978297
-0.03131228743296072,-0.060604716868348875,-0.03131228743296072,-0.060604716868348875
-0.030050908407967182,-0.061894998888000256,-0.030050908407967182,-0.061894998888000256
-0.028562037829281076,-0.06273029165472191,-0.028562037829281076,-0.06273029165472191
-0.02277211634740931,0.012125638169511541,-0.02277211634740931,0.012125638169511541
-0.024539269602025078,0.010002853316985891,-0.024539269602025078,0.010002853316985891
-0.0261249165230856,0.0075580196030531075,-0.0261249165230856,0.0075580196030531075
-0.02736850759420396,0.004872660197671816,-0.02736850759420396,0.004872660197671816
-0.028868756833592506,0.001620866216071418,-0.028868756833592506,0.001620866216071418
-0.030503012811857813,-0.002183455513384912,-0.030503012811857813,-0.002183455513384912
-0.032122088262646294,-0.006387014252713817,-0.032122088262646294,-0.006387014252713817
-0.03356424808673647,-0.011119282674155075,-0.03356424808673647,-0.011119282674155075
-0.03484010649453191,-0.016839230330847377,-0.03484010649453191,-0.016839230330847377
-0.03602993996548462,-0.02313268184727693,-0.03602993996548462,-0.02313268184727693
-0.036711087580413096,-0.029614727578204308,-0.036711087580413096,-0.029614727578204308
-0.03701724759542757,-0.03582917051973219,-0.03701724759542757,-0.03582917051973219
-0.03686439344121623,-0.04184742039658084,-0.03686439344121623,-0.04184742039658084
-0.03651317211785947,-0.04711879000852784,-0.03651317211785947,-0.04711879000852784
-0.035732855906134994,-0.05182251608979148,-0.035732855906134994,-0.05182251608979148
-0.0346167324409651,-0.055594993645507025,-0.0346167324409651,-0.055594993645507025
-0.03334822919187434,-0.05844474085881066,-0.03334822919187434,-0.05844474085881066
-0.03207683602079727,-0.060359008135716985,-0.03207683602079727,-0.060359008135716985
-0.030717168880859583,-0.06169325660506623,-0.030717168880859583,-0.06169325660506623
-0.02920799467756317,-0.06261867293035935,-0.02920799467756317,-0.06261867293035935
-0.025160597529102886,0.013188243207289752,-0.025160597529102886,0.013188243207289752
-0.026199108768710816,0.011863792229675112,-0.026199108768710816,0.011863792229675112
-0.027466542513615532,0.00983375207502356,-0.027466542513615532,0.00983375207502356
-0.028900722106522808,0.0071891683411938944,-0.028900722106522808,0.0071891683411938944
-0.030422809069617245,0.004079500310503953,-0.030422809069617245,0.004079500310503953
-0.03219490487099792,0.0002149439310717732,-0.03219490487099792,0.0002149439310717732
-0.03346663496068214,-0.0032759283378140307,-0.03346663496068214,-0.0032759283378140307
-0.0347256572035247,-0.007686115229542547,-0.0347256572035247,-0.007686115229542547
-0.03586736203526207,-0.013024331285317601,-0.03586736203526207,-0.013024331285317601
-0.037001726933611825,-0.01870788871143254,-0.037001726933611825,-0.01870788871143254
-0.03771434683176515,-0.024794433623675137,-0.03771434683176515,-0.024794433623675137
-0.03815666372925318,-0.031202818631484587,-0.03815666372925318,-0.031202818631484587
-0.03831229607089406,-0.03727917809019747,-0.03831229607089406,-0.03727917809019747
-0.03791625607687594,-0.04307665270641077,-0.03791625607687594,-0.04307665270641077
-0.03735798963393679,-0.04809778389202357,-0.03735798963393679,-0.04809778389202357
-0.03637082987217905,-0.05211886864089717,-0.03637082987217905,-0.05211886864089717
-0.035206865598368345,-0.05557735731677431,-0.035206865598368345,-0.05557735731677431
-0.03389734506750449,-0.057944907540590736,-0.03389734506750449,-0.057944907540590736
-0.03245285972651691,-0.05980194862373458,-0.03245285972651691,-0.05980194862373458
-0.031084858746669344,-0.06112201809808997,-0.031084858746669344,-0.06112201809808997
-0.029787496320903842,-0.062307225725425436,-0.029787496320903842,-0.062307225725425436
-0.026549181927231748,0.01578787066171282,-0.026549181927231748,0.01578787066171282
-0.027764074972406797,0.013903993351857902,-0.027764074972406797,0.013903993351857902
-0.02890762723944203,0.011906458580678764,-0.02890762723944203,0.011906458580678764
-0.030445109308244022,0.009148008151474159,-0.030445109308244022,0.009148008151474159
-0.03184422132644207,0.006589915883875669,-0.03184422132644207,0.006589915883875669
-0.03312721535645789,0.0035474032471327632,-0.03312721535645789,0.0035474032471327632
-0.034449519170001455,-8.983826778076993e-05,-0.034449519170001455,-8.983826778076993e-05
-0.035489249247803,-0.004334846718963233,-0.035489249247803,-0.004334846718963233
-0.03682062005401244,-0.009127463655915399,-0.03682062005401244,-0.009127463655915399
-0.03783099427477761,-0.014402589308800673,-0.03783099427477761,-0.014402589308800673
-0.038560518549855136,-0.02005825197790276,-0.038560518549855136,-0.02005825197790276
-0.03918262576253185,-0.026126461948291727,-0.03918262576253185,-0.026126461948291727
-0.03922199028923485,-0.03218547602444294,-0.03922199028923485,-0.03218547602444294
-0.039142914718049426,-0.03805991353958752,-0.039142914718049426,-0.03805991353958752
-0.0386496721821613,-0.04341823961579769,-0.0386496721821613,-0.04341823961579769
-0.03795093423922541,-0.04786998727160867,-0.03795093423922541,-0.04786998727160867
-0.036960831674885786,-0.051863381820296796,-0.036960831674885786,-0.051863381820296796
