,latitude,longitude,time,u10,v10
0,-22.25,-40.5,1994-01-01,-0.50988173,4.1038084
4384,-22.25,-40.25,1994-01-01,-1.9984246,4.1904516
8768,-22.25,-40.0,1994-01-01,-2.4419384,4.55952
13152,-22.5,-40.75,1994-01-01,0.3069229,3.2840292
17536,-22.5,-40.5,1994-01-01,-0.8748565,3.6214383
21920,-22.5,-40.25,1994-01-01,-2.334756,3.6889203
26304,-22.5,-40.0,1994-01-01,-2.7015786,4.2620993
30688,-22.75,-41.0,1994-01-01,0.3429582,1.8985684
35072,-22.75,-40.75,1994-01-01,-0.14398289,2.618375
39456,-22.75,-40.5,1994-01-01,-1.3386979,2.902465
43840,-22.75,-40.25,1994-01-01,-2.677555,3.0340965
48224,-22.75,-40.0,1994-01-01,-2.8614285,3.831382
52608,-23.0,-41.25,1994-01-01,-0.24192548,0.29233408
56992,-23.0,-41.0,1994-01-01,-0.25670934,1.1096141
61376,-23.0,-40.75,1994-01-01,-0.69098306,1.7086196
65760,-23.0,-40.5,1994-01-01,-1.8358029,2.0043733
70144,-23.0,-40.25,1994-01-01,-2.9150198,2.3367841
74528,-23.0,-40.0,1994-01-01,-2.899312,3.2190468
78912,-23.25,-41.5,1994-01-01,-0.64385986,-0.3833176
83296,-23.25,-41.25,1994-01-01,-0.65217566,-0.14254904
87680,-23.25,-41.0,1994-01-01,-0.81941724,0.16820073
92064,-23.25,-40.75,1994-01-01,-1.2703229,0.67139864
96448,-23.25,-40.5,1994-01-01,-2.329212,1.0737906
100832,-23.25,-40.25,1994-01-01,-3.161724,1.6086466
105216,-23.25,-40.0,1994-01-01,-3.034214,2.4192617
109600,-23.5,-43.5,1994-01-01,-3.5682786,-0.85735667
113984,-23.5,-43.25,1994-01-01,-3.1497123,-0.9614953
118368,-23.5,-43.0,1994-01-01,-2.685871,-0.9673271
122752,-23.5,-42.75,1994-01-01,-2.2423573,-0.8831831
127136,-23.5,-42.5,1994-01-01,-1.8783064,-0.7573836
131520,-23.5,-42.25,1994-01-01,-1.5271913,-0.6390821
135904,-23.5,-42.0,1994-01-01,-1.3599497,-0.55660427
140288,-23.5,-41.75,1994-01-01,-1.130801,-0.66157603
144672,-23.5,-41.5,1994-01-01,-1.127105,-0.75655043
149056,-23.5,-41.25,1994-01-01,-1.2056438,-0.75655043
153440,-23.5,-41.0,1994-01-01,-1.3793534,-0.56910086
157824,-23.5,-40.75,1994-01-01,-1.7738959,-0.22502685
162208,-23.5,-40.5,1994-01-01,-2.7690299,0.2715063
166592,-23.5,-40.25,1994-01-01,-3.3557615,0.81969213
170976,-23.5,-40.0,1994-01-01,-2.8623524,1.4878457
175360,-23.75,-44.0,1994-01-01,-4.1891975,-0.7615491
179744,-23.75,-43.75,1994-01-01,-3.9942365,-0.8931804
184128,-23.75,-43.5,1994-01-01,-3.7216604,-1.0156474
188512,-23.75,-43.25,1994-01-01,-3.5765944,-1.180603
192896,-23.75,-43.0,1994-01-01,-3.2975502,-1.2280903
197280,-23.75,-42.75,1994-01-01,-2.957523,-1.17977
201664,-23.75,-42.5,1994-01-01,-2.61842,-1.0439731
206048,-23.75,-42.25,1994-01-01,-2.3375278,-0.8656877
210432,-23.75,-42.0,1994-01-01,-2.1490345,-0.75488424
214816,-23.75,-41.75,1994-01-01,-1.7859076,-0.74988556
219200,-23.75,-41.5,1994-01-01,-1.6972048,-0.6749058
223584,-23.75,-41.25,1994-01-01,-1.7711239,-0.7040646
227968,-23.75,-41.0,1994-01-01,-2.037232,-0.74988556
232352,-23.75,-40.75,1994-01-01,-2.536185,-0.63491654
236736,-23.75,-40.5,1994-01-01,-3.180204,-0.24418831
241120,-23.75,-40.25,1994-01-01,-3.261515,0.20569062
245504,-23.75,-40.0,1994-01-01,-2.7061987,0.82052517
249888,-24.0,-44.75,1994-01-01,-4.683531,-0.91067564
254272,-24.0,-44.5,1994-01-01,-4.522757,-0.77487886
258656,-24.0,-44.25,1994-01-01,-4.2307773,-0.7740457
263040,-24.0,-44.0,1994-01-01,-3.9304814,-0.88234997
267424,-24.0,-43.75,1994-01-01,-3.7872634,-0.96982646
271808,-24.0,-43.5,1994-01-01,-3.9360251,-0.95566356
276192,-24.0,-43.25,1994-01-01,-3.9951606,-0.8798506
280576,-24.0,-43.0,1994-01-01,-3.8260708,-0.90567696
284960,-24.0,-42.75,1994-01-01,-3.535939,-0.96982646
289344,-24.0,-42.5,1994-01-01,-3.2042277,-0.9381683
293728,-24.0,-42.25,1994-01-01,-2.961219,-0.76738083
298112,-24.0,-42.0,1994-01-01,-2.8069131,-0.5541049
302496,-24.0,-41.75,1994-01-01,-2.4835176,-0.41497564
306880,-24.0,-41.5,1994-01-01,-2.3486156,-0.19503498
311264,-24.0,-41.25,1994-01-01,-2.402207,-0.11339021
315648,-24.0,-41.0,1994-01-01,-2.6563034,-0.15671182
320032,-24.0,-40.75,1994-01-01,-3.0970452,-0.20836473
324416,-24.0,-40.5,1994-01-01,-3.2809186,-0.10589218
328800,-24.0,-40.25,1994-01-01,-3.0231261,0.1781981
333184,-24.0,-40.0,1994-01-01,-2.5001495,0.7030568
337568,-24.25,-45.0,1994-01-01,-4.942247,-0.9531642
341952,-24.25,-44.75,1994-01-01,-4.872948,-0.73905516
346336,-24.25,-44.5,1994-01-01,-4.601296,-0.5790982
350720,-24.25,-44.25,1994-01-01,-4.3296437,-0.42413986
355104,-24.25,-44.0,1994-01-01,-4.0921793,-0.3891493
359488,-24.25,-43.75,1994-01-01,-3.9785287,-0.28584385
363872,-24.25,-43.5,1994-01-01,-4.031196,-0.3891493
368256,-24.25,-43.25,1994-01-01,-4.113431,-0.34832692
372640,-24.25,-43.0,1994-01-01,-4.0616875,-0.22419357
377024,-24.25,-42.75,1994-01-01,-3.8390067,-0.23502421
381408,-24.25,-42.5,1994-01-01,-3.6135538,-0.17670655
385792,-24.25,-42.25,1994-01-01,-3.3825572,-0.0034196377
390176,-24.25,-42.0,1994-01-01,-3.250427,0.2265184
394560,-24.25,-41.75,1994-01-01,-3.1838999,0.38730836
398944,-24.25,-41.5,1994-01-01,-3.1118288,0.5272708
403328,-24.25,-41.25,1994-01-01,-3.1210687,0.61391425
407712,-24.25,-41.0,1994-01-01,-3.263363,0.6005845
412096,-24.25,-40.75,1994-01-01,-3.2190113,0.54976463
416480,-24.25,-40.5,1994-01-01,-3.105361,0.5714257
420864,-24.25,-40.25,1994-01-01,-2.8355567,0.795532
425248,-24.25,-40.0,1994-01-01,-2.5712967,1.2279155
429632,-24.5,-45.25,1994-01-01,-4.9274635,-1.2405869
434016,-24.5,-45.0,1994-01-01,-4.9293113,-0.89984524
438400,-24.5,-44.75,1994-01-01,-4.860012,-0.6140888
442784,-24.5,-44.5,1994-01-01,-4.742666,-0.36082363
447168,-24.5,-44.25,1994-01-01,-4.515365,-0.20253277
451552,-24.5,-44.0,1994-01-01,-4.405411,0.011576176
455936,-24.5,-43.75,1994-01-01,-4.2621927,0.1498723
460320,-24.5,-43.5,1994-01-01,-4.1365304,0.15820336
464704,-24.5,-43.25,1994-01-01,-4.1171265,0.16903377
469088,-24.5,-43.0,1994-01-01,-4.0210323,0.29733276
473472,-24.5,-42.75,1994-01-01,-3.891674,0.42563152
477856,-24.5,-42.5,1994-01-01,-3.6967127,0.50894237
482240,-24.5,-42.25,1994-01-01,-3.670841,0.6080823
486624,-24.5,-42.0,1994-01-01,-3.669917,0.79136634
491008,-24.5,-41.75,1994-01-01,-3.729052,0.9771497
495392,-24.5,-41.5,1994-01-01,-3.7854154,1.0113072
499776,-24.5,-41.25,1994-01-01,-3.7669356,1.0646262
504160,-24.5,-41.0,1994-01-01,-3.539635,1.0288026
508544,-24.5,-40.75,1994-01-01,-3.3437495,1.0029762
512928,-24.5,-40.5,1994-01-01,-2.972307,1.0562952
517312,-24.5,-40.25,1994-01-01,-2.7607138,1.3645456
521696,-24.5,-40.0,1994-01-01,-2.6405954,1.8285873
526080,-24.75,-45.75,1994-01-01,-4.9006677,-1.3105681
530464,-24.75,-45.5,1994-01-01,-4.9644227,-1.2822424
534848,-24.75,-45.25,1994-01-01,-4.9662704,-1.1289502
539232,-24.75,-45.0,1994-01-01,-4.9219193,-0.8306972
543616,-24.75,-44.75,1994-01-01,-4.7657657,-0.53494346
548000,-24.75,-44.5,1994-01-01,-4.662279,-0.3191681
552384,-24.75,-44.25,1994-01-01,-4.5052013,-0.14754772
556768,-24.75,-44.0,1994-01-01,-4.3813868,0.06822753
