longitude;latitude;u1;u2;u3;u4;u5;u6;u7;u8;u9;u10;u11;u12;u13;u14;u15;u16;u17;u18;u19;u20;u21;u22;u23;u24;u25;u26;u27;u28;u29;u30;u31;u32;u33;u34;u35;u36;u37;u38;u39;u40;u41;u42;u43;u44;u45;u46;u47;u48;u49;u50;u51;u52;u53;u54;u55;u56;u57;u58;u59;u60;u61;u62;u63;u64;u65;u66;u67;u68;u69;u70;u71;u72;u73;u74;u75;u76;u77;u78;u79;u80;u81;u82;u83;u84;u85;u86;u87;u88;u89;u90;u91;u92;u93;u94;u95;u96;u97;u98;u99;u100;u101;u102;u103;u104;u105;u106;u107;u108;u109;u110;u111;u112;u113;u114;u115;u116;u117;u118;u119;u120;u121;u122;u123;u124
-48.0;-29.0;-5.842076;-4.285655;-3.5448756;-4.8418927;-4.0097127;-1.9945487;-0.5974263;1.0721567;2.1802793;0.56118417;1.5056562;-1.4713894;1.0669338;-1.5714947;-0.11866164;-0.1891706;0.7692292;-0.7149414;1.8642945;2.3552458;2.00096;1.7049965;1.0155754;2.28996;2.6581733;1.6640838;-5.6958346;-8.493561;-9.621704;-8.353414;-10.018644;-10.371189;-10.639297;-9.216061;-6.668162;-7.493378;-9.499837;-9.222154;-7.5107884;-5.9012685;-6.7247434;-5.037751;-3.851285;-3.413433;-5.581802;-4.2369084;-3.6423697;-4.8993444;-5.601823;-4.9280705;-2.5742893;-5.043844;-7.1225533;-6.2616477;-4.6355886;-3.7520504;-4.135062;-2.2704911;-0.0063695908;-1.8648468;-0.6496552;0.71874124;-1.2981638;1.9939961;-1.329501;2.071469;1.8599421;-0.022908688;-2.217392;-0.78545034;-1.4287359;-2.734458;-4.0001373;-3.7590141;-3.7712007;-3.0426083;-3.051313;-2.75709;-0.9412664;-1.9632114;-1.2476758;-0.7662996;-0.33802283;-2.63;-2.4149914;-1.7777988;-0.5948149;-1.9605998;0.9868494;1.8677764;0.7814159;-1.6890098;-3.1479363;2.1785383;-1.4914106;-1.487058;-2.7013793;-3.2167044;-1.6245941;-3.9496493;-5.6375127;-3.398635;-1.2441939;-2.613461;-2.480277;1.0286326;3.6444285;-1.9327444;-5.2753925;-3.1862373;-5.2109766;-3.8895864;-4.270857;-3.1470656;-0.87336886;-2.2348013;-3.972282;-2.5655842;-2.0789852;-2.4341416;-4.7252483;-3.047831;-1.886609;-2.8476205
-48.0;-28.75;-6.0771055;-3.7868695;-2.650021;-4.5755253;-3.9235349;-1.9475425;-0.7985076;1.3594154;1.9600475;-0.39721572;1.0921776;-1.374766;0.542904;-2.342741;-0.04031837;-0.23791754;0.69610876;-0.58611;2.4074748;2.2751617;2.098454;1.6649543;1.1853192;2.2368605;2.3195562;2.3909357;-5.910844;-8.400419;-9.493744;-8.905298;-10.91611;-10.581845;-11.141564;-9.313554;-7.558665;-7.8250318;-9.990788;-9.703529;-7.915562;-6.42878;-6.910156;-5.8742833;-3.880011;-3.3777432;-5.842946;-4.883676;-3.5091858;-4.814908;-6.071012;-5.5939884;-3.9331102;-5.321528;-7.2696652;-6.286021;-5.654922;-4.0810924;-4.6425524;-2.6326113;0.14161217;-2.094654;-1.0439831;0.41755474;-2.0815969;2.3439298;-1.6245941;1.3132799;1.7197946;0.9354911;-2.0990062;-0.4860047;-1.2041517;-2.4750543;-4.334402;-3.7050443;-3.3655567;-2.8493614;-3.1740508;-2.871994;-0.90644705;-1.5732356;-1.311221;-0.86814606;-0.23356521;-1.9884552;-0.23704708;-0.48948658;-0.8637935;-1.6002206;0.8345153;2.1306617;2.0453546;-0.58436906;-2.8833098;3.0350919;-1.7525548;-0.77674544;-2.72053;-3.3507586;-1.3712841;-3.6858935;-5.670591;-3.0434785;-0.9691218;-2.1825724;-2.4158616;0.9790151;3.5007992;-2.0119581;-4.0985017;-2.9224815;-5.1909556;-4.1002426;-4.6712785;-3.382966;-1.2764016;-1.8221933;-3.990562;-2.8319516;-2.318368;-1.8961843;-4.7757363;-2.7501264;-1.9797505;-2.4297895
-48.0;-28.5;-6.133687;-3.3672976;-1.4853171;-3.9331102;-3.7973151;-1.5923864;-0.41636622;1.7250175;1.4751894;-0.061209917;0.34530485;-1.4905399;-0.109086394;-2.4324007;-0.026390672;-0.35543263;0.9119881;-0.2283423;3.002884;2.0601528;2.0140173;1.6954211;1.4560388;2.3421886;1.979198;3.3432422;-6.1632833;-8.322947;-9.128141;-9.181241;-11.635127;-10.985748;-11.397486;-9.344021;-8.231546;-7.9999986;-10.454755;-9.996012;-8.215878;-6.62812;-7.148668;-6.615933;-4.008842;-3.1453247;-6.15806;-5.7297835;-3.1026711;-4.6721487;-6.640307;-6.6690326;-4.4971824;-5.104778;-7.341044;-6.2155123;-6.4853616;-3.9949145;-4.900215;-2.910295;0.6377865;-1.9188167;-1.1519228;-0.08819485;-2.5020394;2.4936523;-1.9379674;0.5516088;1.3602859;1.7554843;-1.9249102;-0.0054991245;-0.58436906;-2.185184;-4.418839;-3.3333488;-3.000825;-2.5229306;-3.0121412;-2.7301054;-0.6531371;-1.0474652;-1.1606277;-0.654878;-0.17176104;-1.1510524;1.8329571;0.47761798;-0.8942603;-1.0056821;0.43757582;1.9722341;2.3369658;1.1827078;-2.6491504;3.3423715;-1.5810701;0.091124296;-2.405416;-3.1958127;-1.539287;-3.2619696;-5.413799;-2.8354335;-0.3589145;-1.6193713;-2.5011687;0.2356242;3.4146214;-2.1198978;-3.1052828;-2.3288136;-5.083016;-4.373574;-5.1187057;-3.6911168;-1.6245941;-1.3991395;-3.8599901;-3.2906952;-2.6308703;-1.5183953;-4.562468;-2.477666;-1.7011966;-2.094654
-48.0;-28.25;-5.6749434;-4.74701;-4.353553;-5.148302;-3.7703304;-1.1858715;1.1000121;2.2316375;1.125256;0.77793396;0.48719323;-2.4088979;1.1600752;-1.6115369;-0.9168929;-0.560866;0.62559974;-0.7227756;1.1914124;1.821641;1.3829184;1.3167619;-0.20658028;2.3648212;2.6512094;-0.69579065;-7.255737;-8.685067;-9.714846;-8.031335;-9.81234;-10.623629;-10.202315;-8.989735;-6.277316;-7.569981;-9.814081;-8.719886;-7.359324;-5.8490396;-6.991981;-4.9228473;-4.0105834;-3.601457;-5.876895;-4.2377787;-3.845192;-5.5617805;-5.457323;-5.200531;-1.9379674;-5.8977866;-7.3062253;-6.425298;-4.1054654;-4.3108993;-4.175104;-2.5029097;0.039765954;-1.7299224;-0.73496234;-0.30929697;-1.5236183;1.5683309;-1.7682234;2.0740805;1.2358071;-0.45031488;-2.5455632;-0.66010106;-1.6376513;-3.4586983;-4.5215554;-3.8051496;-3.972282;-3.7015624;-2.7875571;-2.5594912;-0.8498658;-2.152976;-0.2701254;-0.55216134;-0.2396586;-2.8101897;-3.297659;-2.427178;-0.4633721;-1.7551664;2.00096;2.0958424;0.044118285;-2.5185785;-4.292619;1.4812827;-1.4783534;-1.8996662;-2.8789577;-2.8876624;-1.9571179;-4.229944;-5.338067;-3.6040683;-1.65332;-2.8685117;-1.121456;0.42800057;3.533007;-2.8206353;-6.756952;-3.829523;-5.721949;-4.2752094;-4.759197;-3.5657673;-0.9752151;-2.4445877;-3.9574838;-2.3105335;-2.1747384;-3.1113763;-4.6460342;-3.1105056;-2.0345907;-3.2985296
-48.0;-28.0;-5.875154;-4.33005;-3.6798005;-4.6408114;-3.7877402;-1.461814;0.32180178;2.2986646;0.19993448;0.005817175;0.57598233;-2.4411054;0.83886766;-2.5960512;-0.95693505;-0.55390227;0.51417816;-0.8716279;1.5378641;1.7267585;1.6719182;1.1896715;0.02061534;2.066246;2.3125923;0.038895488;-7.85811;-8.746871;-9.790578;-8.900076;-10.457366;-10.801207;-10.110915;-9.256973;-7.118201;-7.799788;-10.103951;-9.330964;-7.708387;-6.213771;-7.0433393;-5.544371;-4.191643;-3.2584872;-6.1006083;-4.737435;-3.659779;-5.034269;-6.0118194;-5.376368;-3.0634995;-6.242497;-7.5865197;-6.5019;-5.148302;-4.558986;-4.400559;-2.9964728;-0.07426715;-2.0972652;-1.0596517;-0.31364954;-2.156458;1.8729993;-1.7560369;1.4142557;1.2436414;0.45150352;-2.3035693;-0.3423754;-1.6359104;-2.7936506;-4.6878176;-3.713749;-3.6171255;-2.9860268;-3.0234575;-2.7614427;-0.80982363;-1.5706242;-0.67664015;-0.18133628;-0.008110523;-2.1590695;-1.8221933;-1.4470159;-0.49906194;-1.4365703;2.1054177;2.2908301;0.20254588;-2.512485;-4.31264;0.39840412;-2.156458;-1.1197151;-2.8441386;-2.9407616;-1.5418984;-3.644981;-5.426856;-3.4343247;-1.2798835;-2.3653736;-1.8108772;1.2802017;3.7332177;-2.6413164;-6.1093135;-3.9409447;-5.844687;-4.383149;-5.1909556;-3.5944934;-1.40001;-2.21391;-4.008842;-2.3984518;-2.1390486;-2.2435064;-4.7217665;-3.0756865;-1.9275216;-2.6613374
-48.0;-27.75;-6.0962563;-3.8826222;-2.771018;-4.3674803;-3.7355113;-1.512302;0.0110400915;2.5659022;0.29307592;-0.79067314;0.28437114;-2.3688555;0.3322476;-3.2828608;-0.81330574;-0.6078721;0.48109984;-0.7332214;2.0723395;1.6118549;1.771153;1.1679096;0.30526268;2.0174992;2.074951;0.7814159;-8.097492;-8.678973;-9.656524;-9.46937;-11.216426;-11.050164;-10.48348;-9.311813;-7.958215;-8.063543;-10.510466;-9.796671;-8.141887;-6.6664214;-7.258349;-6.3330274;-4.3108993;-3.2079997;-6.3608823;-5.4146695;-3.4586983;-4.9115314;-6.462729;-6.12063;-4.2282033;-6.440967;-7.7553935;-6.532367;-6.1850452;-4.767031;-4.868007;-3.3342195;0.10418153;-2.2513404;-1.3582269;-0.55999553;-2.7980027;2.1445894;-1.9893256;0.6316931;1.1304789;1.3367829;-2.1695151;-0.056857467;-1.4052328;-2.4933343;-5.0029316;-3.6119027;-3.170569;-2.7335873;-3.1496773;-2.8946261;-0.775875;-1.2067631;-0.7871913;-0.217026;0.11985016;-1.5279707;0.17817247;-0.23269475;-0.7314805;-1.1510524;1.9643998;2.5928874;1.4212196;-1.6037027;-4.1037245;0.67869914;-2.3305545;-0.47904098;-2.7953916;-3.0199757;-1.3390764;-3.3577223;-5.43382;-3.11834;-0.95171225;-1.9780096;-1.7952083;1.4412407;3.6548743;-2.653503;-4.9950976;-3.6780596;-5.7445817;-4.5972877;-5.6053047;-3.7877402;-1.7769283;-1.861365;-4.0123243;-2.653503;-2.353187;-1.7011966;-4.7635493;-2.824988;-1.9623407;-2.2469883
-48.0;-27.5;-6.029229;-3.4726257;-1.7168652;-3.6867642;-3.7006917;-1.4426636;0.12855494;2.8340106;1.1478884;-0.6714171;-0.06469178;-2.7657952;-0.30407417;-3.2428188;-0.47381794;-0.6444322;0.60906065;-0.2561977;2.603333;1.5317707;1.6458037;1.1365722;0.6908859;2.0636346;1.9600475;1.6780115;-8.7790785;-8.739037;-9.404084;-9.852382;-11.537634;-11.160715;-10.656707;-9.247397;-8.566681;-8.223712;-10.798595;-9.968156;-8.41957;-6.793512;-7.5046945;-6.8770776;-4.7217665;-3.0234575;-6.5645747;-6.166765;-3.1105056;-4.639941;-6.8614087;-7.0799003;-4.417098;-5.943922;-7.753652;-6.450542;-6.5654454;-4.061071;-5.2196817;-3.5370412;0.43757582;-2.0049944;-1.3712841;-0.913411;-3.017364;2.114993;-2.1111932;-0.08732438;0.9398435;1.8956318;-1.8892204;0.338341;-0.82026947;-2.0528708;-4.9663715;-3.5083156;-2.5725484;-2.3053102;-2.9660058;-2.8450089;-0.57305276;-0.6940497;-0.8254925;-0.23269475;0.28437114;-0.6966611;1.9652703;0.87716883;-0.7976371;-0.6453029;1.4107738;2.7051792;2.9515254;-0.11605024;-3.918312;1.163557;-1.6646363;0.16163325;-2.338389;-2.8067079;-1.5418984;-2.9816742;-5.0621243;-2.8702526;-0.31800187;-1.4783534;-1.9144644;1.1487589;3.6888232;-2.6308703;-4.0819626;-3.1009302;-5.4930124;-4.7087092;-5.8307595;-4.0097127;-2.2617865;-1.5035971;-3.8591194;-3.037385;-2.5177078;-1.2955521;-4.4815135;-2.6221657;-1.6672477;-1.8761631
-48.0;-27.25;-5.4703803;-4.9263296;-4.856691;-5.6209736;-3.3890595;-0.19961643;2.3569868;2.9158359;0.82493997;0.048470736;-0.8933898;-2.7492561;0.93113863;-1.8230637;-1.5941273;-0.9029652;0.38186502;-0.70710695;0.59774435;1.266274;0.60296726;0.8345153;-0.91254056;2.2943122;2.0322974;-2.6326113;-7.0120025;-8.723368;-9.678286;-7.76671;-9.900258;-10.574011;-10.121361;-8.6781025;-6.2337923;-7.5900016;-10.04911;-8.361248;-7.2008967;-5.9326057;-7.246162;-4.979429;-3.912219;-3.9896917;-6.239015;-4.3622575;-4.1498604;-6.3016896;-5.163971;-5.531314;-1.6602839;-6.798734;-7.2931676;-6.52018;-3.9931736;-4.7417874;-4.418839;-2.405416;0.0040762424;-1.7630006;-1.1023053;-1.3234075;-1.9362265;1.0913072;-2.4532924;1.865165;0.54986787;-0.52430594;-2.821506;-0.5974263;-1.582811;-4.198607;-5.1439495;-3.8443213;-4.106336;-4.5337424;-2.6952863;-2.5029097;-0.8690165;-2.0345907;1.1348312;-0.6087426;-0.21093261;-2.1721268;-3.2846017;-2.1555877;-0.74889004;-0.7636882;2.9175768;2.447517;0.29568744;-2.3148856;-4.751363;1.4281834;-1.7194766;-2.1729975;-3.0600176;-2.4123797;-2.2182622;-4.6721487;-5.0116367;-3.5936227;-2.1921477;-2.8006144;0.89022607;-1.0692271;2.3900652;-3.8948092;-7.0572677;-4.227333;-5.6627564;-4.9672422;-5.4373016;-4.1542125;-1.4592026;-2.4985576;-3.9696708;-2.0607052;-2.4471989;-3.9052548;-4.625143;-2.9477258;-2.1912775;-3.3977642
-48.0;-27.0;-5.7628617;-4.6912994;-4.508498;-4.799239;-3.3655567;-0.37893546;1.9678818;3.1987422;-0.7523719;-0.19700491;-0.6270226;-3.134879;0.7613948;-2.5621023;-1.8021723;-0.9195043;0.21560311;-0.9308206;0.8780393;1.2279727;0.9694398;0.62298834;-0.90644705;1.7981379;1.5248069;-1.9405788;-8.236769;-8.906169;-9.997752;-8.697253;-10.611442;-10.870845;-9.936819;-9.266548;-7.0154843;-8.070507;-10.439086;-8.990605;-7.548219;-6.295596;-7.2879453;-5.5165157;-4.1794567;-3.5779538;-6.6020055;-4.698263;-4.037568;-5.6592746;-5.8708014;-5.391166;-2.7614427;-7.298391;-7.7310195;-6.670774;-4.6207905;-5.2788744;-4.596417;-3.1897192;-0.19874597;-2.295735;-1.4922811;-1.5001153;-2.6239066;1.3742136;-2.421955;1.3254666;0.59513295;0.19558203;-2.63;-0.24139953;-1.6002206;-3.4421592;-5.3685336;-3.8791404;-3.9061255;-3.7198424;-2.8606777;-2.6256475;-0.83419716;-1.5671424;0.09895861;-0.32931817;0.02932012;-2.0711508;-2.2478585;-1.6019615;-0.5887214;-0.844643;3.124751;2.4161797;-0.38764036;-2.4506807;-4.9428687;0.4575969;-2.7153072;-1.2894589;-3.1740508;-2.5438223;-1.702067;-3.8965502;-5.1308923;-3.5718608;-1.8239342;-2.3270726;-0.34063447;-0.19526398;3.046408;-3.5257254;-7.011132;-4.6895585;-6.3721986;-5.028176;-5.8490396;-4.1359324;-1.8909613;-2.2826781;-4.0819626;-2.1442714;-2.205205;-2.9007196;-4.697393;-3.0217166;-2.1912775;-2.9329276
-47.75;-29.0;-5.979612;-4.2752094;-3.7799058;-4.404041;-3.4212675;-0.8167876;1.423831;3.2187634;-1.7412387;-0.6609715;-0.3806764;-3.243689;0.45672643;-3.5248547;-1.7151242;-0.9116701;0.15292847;-1.0448536;1.2131746;1.1348312;1.2149155;0.43670535;-0.6757697;1.5422164;1.380307;-1.7011966;-8.667657;-8.921838;-9.958581;-9.473722;-11.09717;-11.098911;-9.741831;-9.441515;-7.873779;-8.308148;-10.586198;-9.525951;-8.000869;-6.566316;-7.3784747;-6.131946;-4.4449534;-3.2402072;-6.729096;-5.1709347;-3.744216;-5.167453;-6.227699;-5.7550273;-3.9061255;-7.5743327;-7.955604;-6.719521;-5.791588;-5.6105275;-4.72873;-3.58927;-0.24401093;-2.2661386;-1.7159947;-1.4792238;-3.0460901;1.561367;-2.3096628;0.63691604;0.68914485;0.9851085;-2.4245663;-0.015944839;-1.5967387;-2.8284698;-5.4521003;-3.7781649;-3.5675082;-3.0391264;-3.083521;-2.81106;-0.7619473;-1.1083988;-0.04902315;0.091124296;0.2521633;-1.5636605;-0.84116113;-0.705366;-0.55912507;-0.7105888;3.1996126;2.3978994;-0.53562224;-2.5568795;-4.8958626;-0.61483586;-3.11834;-0.5895921;-3.1427135;-2.534247;-1.3251487;-3.2993999;-5.1761575;-3.3855777;-1.3921756;-1.9344853;-0.98479044;0.8858736;3.4781666;-3.239337;-6.420075;-4.7757363;-6.703852;-5.170064;-6.1928797;-4.1089478;-2.1860547;-2.1268616;-4.120264;-2.1756086;-2.156458;-2.0815969;-4.7226367;-2.9738402;-2.0345907;-2.37669
