longitude;latitude;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;v100;v101;v102;v103;v104;v105;v106;v107;v108;v109;v110;v111;v112;v113;v114;v115;v116;v117;v118;v119;v120;v121;v122;v123;v124
-48.0;-29.0;-5.898446;-9.081139;-9.071398;-8.172841;-9.121723;-9.806802;-8.885517;1.3249084;1.5456918;7.6951623;9.458995;9.177333;8.70898;7.2673936;8.746319;8.741448;9.033662;8.248744;6.446761;6.3712726;6.848555;5.15534;5.0774164;4.157756;5.5766144;6.31283;7.6562;8.178937;7.737371;6.3274407;4.7916965;5.6383038;5.3818054;3.9369721;1.6154984;1.2786411;1.084644;-0.16294527;-0.72545624;-0.2181412;-0.21164751;-1.5160561;-4.1151323;-2.7685156;-2.1727247;-4.848101;-3.8911023;-2.486854;-2.0120072;-2.4917243;-1.6191424;0.5188862;0.25670576;-1.5688168;0.1852758;2.1414824;2.3095055;1.492931;0.96613514;4.8063073;4.092819;2.7949047;2.6447392;2.3801236;1.9198874;-1.1215678;0.33949947;-1.6564808;-2.7936783;-1.4470612;-2.7677038;-2.0079486;-3.0729046;-4.300201;-5.8789654;-6.3578706;-8.192322;-8.700449;-8.948019;-7.883063;-6.598135;-7.4723406;-7.532407;-6.6906695;-5.8432503;-7.857088;-7.7767296;-7.221524;-2.7482228;-5.2612586;0.19826305;2.3192458;1.3338369;-0.65564966;-2.4081187;-1.0858529;-2.4365284;-5.788866;-6.4568987;-5.7799373;-6.115983;-8.674475;-8.598174;-6.1411457;-5.683345;-1.9454474;0.7120718;6.438644;7.1505084;7.5035996;4.980012;3.4994636;2.079793;-1.1288731;-2.9828053;-1.4981985;-4.525043;-6.2482905;-6.4788146;-5.5875635;-4.9211545;-7.8749456;-7.2937655;-6.3943973
-48.0;-28.75;-6.0258837;-9.092502;-9.24429;-8.656617;-9.138769;-10.921271;-10.526783;-1.3748195;0.62116086;7.169989;9.464677;10.092124;9.583185;7.814482;9.29016;9.316134;9.3802595;8.492255;6.635077;6.7097535;7.083137;5.467846;4.8631263;4.066845;5.7852225;6.096105;7.166743;7.5961337;7.899711;6.2048736;4.9792004;6.049838;5.4832683;4.092819;1.668259;1.4003967;1.2721475;0.075695634;-0.45272362;0.242095;0.12033939;-1.623201;-4.0623717;-2.6719227;-1.7555087;-4.8886867;-3.9146414;-2.3512995;-1.7043713;-2.0176892;-1.3447864;1.0262011;0.5773288;-1.1467307;0.7177535;2.6349988;2.5603218;1.4831907;0.89876354;4.387468;3.7324228;2.7940927;2.2534976;1.54488;1.5659844;-1.5525827;0.07488394;-1.6069669;-2.6532536;-1.6507989;-2.550167;-2.25633;-3.3107338;-4.99989;-6.2742653;-6.793756;-8.641194;-9.467509;-9.99674;-8.65824;-7.489386;-8.797042;-9.0624695;-7.5080557;-5.980428;-8.770255;-8.732105;-7.937447;-4.85703;-7.584356;-2.6589355;1.2810763;0.2680695;-0.76847655;-2.951149;-1.1718935;-2.9949808;-6.154133;-6.648461;-5.8213344;-6.236927;-8.61522;-8.948019;-6.585148;-6.1476393;-4.744203;-1.9941497;6.5620227;7.410254;7.364798;4.6220503;2.8663344;1.8435873;-1.148354;-3.3253446;-1.9227197;-4.5932264;-5.961759;-6.466639;-5.575388;-5.098918;-8.021052;-7.619259;-6.650084
-48.0;-28.5;-6.1054306;-9.11523;-9.111983;-9.240232;-9.147698;-11.676969;-11.492711;-3.7782755;-1.8821346;4.6447783;9.112397;10.836456;10.34294;8.56612;9.819391;9.800722;9.683837;8.709792;6.837191;6.902127;7.3282714;5.7876573;4.54088;4.0595393;5.9426928;5.8185024;5.591225;7.1951528;8.091273;6.1001635;5.023032;6.448385;5.418332;4.104995;1.6942335;1.4710151;1.4669565;0.28511536;-0.16538048;0.58950436;0.428787;-1.7116767;-3.9073362;-2.5233808;-1.4186516;-5.1021647;-3.9527917;-2.2660706;-1.4218984;-1.5428423;-1.1199445;1.2615954;0.92149127;-0.9957537;1.053799;3.0652018;2.776235;1.6033229;0.81434643;3.8923283;3.2900438;2.7600012;1.7242666;0.59112775;1.2851347;-1.9681752;-0.1897316;-1.6743383;-2.6751695;-1.7741779;-2.662994;-2.7238717;-3.5201535;-5.6135383;-6.7588525;-7.317305;-9.040553;-10.155834;-10.96348;-9.715079;-8.335182;-9.5332575;-10.413957;-8.484536;-5.410612;-8.793795;-10.006481;-8.900128;-6.051047;-8.92935;-5.6338305;-1.0866646;-1.4438144;-0.73113817;-3.4243722;-1.6654096;-3.5217767;-6.107866;-6.795379;-5.781561;-6.352189;-8.61035;-9.268641;-7.0064225;-6.790509;-6.186601;-4.8302436;6.569329;7.6042514;7.036058;4.0246363;2.2461925;1.8590096;-1.1824456;-3.7368784;-2.3756506;-4.459295;-5.5542836;-6.318909;-5.58107;-5.210121;-7.9877725;-7.667961;-6.841646
-48.0;-28.25;-6.046988;-8.930161;-8.864413;-8.37252;-9.064904;-7.704488;-5.668734;3.9207382;4.320908;7.531198;9.889197;8.784469;7.7795796;7.421618;8.575048;8.281212;8.912718;7.9216275;6.639135;6.071754;6.786053;5.209724;5.0027394;4.4873075;4.672376;6.0449677;7.1180406;8.740637;7.2259974;5.800645;4.6001344;5.229205;4.4272413;3.0587082;1.2291273;0.6122321;0.5586597;-0.88779706;-1.4827762;-0.94055784;-1.0801709;-1.9779156;-4.377313;-3.0225787;-2.3780856;-4.986091;-3.7644763;-2.8285816;-2.1670427;-3.279889;-1.9162261;0.64875877;-0.5639271;-1.9722338;-0.24817419;0.8914584;2.0327144;1.9523555;1.8857957;4.5319514;4.2681475;2.6301284;2.0935922;2.7729883;2.431261;-1.1580945;0.50265205;-1.5558295;-2.6151032;-1.7254757;-3.2815123;-1.6556691;-2.7871847;-3.4284308;-5.73367;-6.1525097;-7.656597;-8.049462;-8.262129;-7.5949078;-5.5843167;-5.336747;-6.461769;-6.0575404;-6.345695;-7.188244;-7.309188;-6.574596;-0.17512083;-1.8707707;2.7624364;3.1755939;2.074111;0.31352496;-1.8504782;-1.1556594;-2.1808417;-5.5088286;-6.469886;-5.997474;-6.540504;-8.663111;-8.537296;-5.9771814;-4.547771;0.6309012;2.631752;6.56527;7.661882;7.743053;5.4800215;3.8858347;2.6577263;-1.2043617;-2.9089403;-1.3293641;-4.335916;-6.312415;-6.754794;-5.926856;-5.136256;-7.805139;-7.2767196;-6.241797
-48.0;-28.0;-6.0323772;-9.162309;-9.239421;-8.802724;-9.202894;-9.311662;-8.90581;2.6577263;2.780294;7.9013352;10.270699;9.117268;8.6505375;7.481684;9.170028;8.779598;9.38513;8.133482;6.807158;6.363156;7.0920663;5.5904136;5.0084214;4.6374726;5.0611825;6.5116973;7.911075;8.572614;7.5587955;5.973538;5.061994;5.591225;4.5668545;3.471054;1.575725;0.90201056;0.98642766;-0.53714085;-1.1199445;-0.4291842;-0.5582452;-1.9965849;-4.404099;-3.0217671;-1.8074578;-4.9325185;-3.9178886;-2.7084494;-1.9527528;-2.6727343;-1.6645979;1.142275;-0.10856116;-1.4738474;-0.22301137;1.4458522;2.4653525;1.9012183;1.9215108;4.25029;4.237303;2.837113;2.0570655;2.3939223;2.3744416;-1.4681655;0.118716;-1.6004733;-2.325325;-1.8025875;-2.925986;-1.7969056;-2.720625;-4.036397;-6.0477996;-6.512906;-7.920401;-8.768632;-9.230492;-8.332747;-6.6931047;-7.031585;-7.5924726;-6.979636;-6.7263846;-7.9796557;-8.0056305;-7.4682817;-2.2474015;-4.040456;2.327363;3.2031918;1.7705339;-0.17187405;-2.5574722;-1.4998219;-2.3537345;-5.974746;-6.685799;-6.1411457;-6.6111226;-8.731294;-8.968311;-6.537257;-5.339994;-1.9348953;0.38333154;6.6269593;7.485742;7.744676;5.1431646;3.5002751;2.477528;-1.2806618;-2.9957924;-1.7887886;-4.38543;-6.316474;-6.828659;-5.9382195;-5.1768413;-8.093294;-7.6208825;-6.7718396
-48.0;-27.75;-6.167932;-9.178543;-9.385528;-9.31085;-9.252408;-10.495127;-10.711852;0.23316634;1.7786509;7.353435;10.297485;9.913548;9.587244;7.94192;9.708188;9.334804;9.753643;8.341278;6.994662;6.6586156;7.366422;5.8939905;4.8826075;4.630979;5.359078;6.5190024;7.599381;8.071793;7.7462993;5.932141;5.30307;6.0319805;4.6431546;3.6642394;1.699104;1.0813969;1.1999058;-0.29687643;-0.8244841;-0.016026855;-0.17593253;-2.0574627;-4.283967;-2.9276094;-1.3869951;-4.991773;-4.0225983;-2.5793884;-1.6386234;-2.2051928;-1.3455982;1.5895239;0.23722482;-1.0777358;0.15443099;1.8947245;2.7543192;1.8541394;1.8752435;3.7843719;3.951583;2.8939323;1.7064091;1.6552719;2.1008973;-1.8626537;-0.2189529;-1.5850508;-2.1889586;-1.9657401;-2.6662407;-2.0339231;-2.9194922;-4.654916;-6.455275;-6.9260635;-8.383884;-9.564102;-10.216712;-9.0908785;-7.602213;-8.370086;-8.957759;-7.8343606;-6.8554454;-8.629019;-8.919609;-8.202063;-4.311565;-6.430924;0.10085857;2.3785;0.78512514;-0.2530445;-3.1086195;-1.6386234;-2.841569;-6.3042984;-6.8351526;-6.1833544;-6.721514;-8.666357;-9.262148;-7.0169744;-5.945525;-4.612707;-2.3285718;6.682155;7.6172385;7.6699996;4.8436456;2.9759145;2.2851543;-1.3139417;-3.2944996;-2.2189918;-4.426827;-6.0542936;-6.8083663;-5.908187;-5.3692155;-8.226414;-7.855465;-7.0526896
-48.0;-27.5;-6.0729628;-9.099808;-9.132276;-9.636344;-9.447217;-11.110398;-11.724858;-2.3488646;-0.030637503;5.858276;9.907055;10.777202;10.109982;8.511736;10.108357;9.744715;10.058032;8.272284;7.096124;6.9841094;7.570971;6.063637;4.701597;4.7267604;5.632622;6.6342645;6.7852416;7.4995418;7.8915944;5.8939905;5.4337544;6.363156;4.593641;3.7673259;1.7193965;1.3874096;1.4174424;-0.03956628;-0.34314358;0.35654533;0.2745632;-2.007137;-3.894349;-2.7790675;-1.1093923;-5.100541;-4.2904606;-2.4527626;-1.3009545;-1.6905724;-1.2270894;1.9101468;0.66174614;-0.7725351;0.4279753;2.1220016;3.0578966;1.794885;1.8857957;3.0578966;3.7161884;2.8078918;1.2161399;0.77538455;1.7291368;-2.1751597;-0.5736676;-1.6645979;-2.1345744;-1.9982083;-2.404872;-2.486854;-3.0104032;-5.081872;-6.7182674;-7.037267;-8.999968;-10.104697;-10.941565;-9.893654;-8.39606;-9.180166;-10.1363535;-8.729671;-6.542939;-8.831133;-10.006481;-9.140392;-5.6037974;-8.137126;-1.7546971;1.2575368;-0.7132807;0.71856534;-3.6597667;-2.0452871;-3.1995301;-6.3059216;-6.689858;-5.9641943;-6.62898;-8.62983;-9.451275;-7.411463;-6.7791452;-5.8643546;-4.739333;6.448385;7.635096;7.4273;4.5124702;2.3598309;2.234017;-1.3878068;-3.5225885;-2.5290627;-4.2636743;-5.688215;-6.568914;-5.8546143;-5.3521695;-8.111963;-7.7840347;-7.1395416
-48.0;-27.25;-6.249914;-8.747528;-8.6144085;-8.345735;-8.817334;-5.449574;-2.377274;5.2040424;7.2203155;6.801476;9.97118;8.692746;6.8306975;7.7024674;8.264977;7.8088;8.646479;7.7097726;6.642382;5.9702907;6.4069877;5.2202764;4.8736787;4.289252;4.1634374;5.846912;6.13669;8.570991;6.6886487;5.0384545;4.2494783;4.859068;3.5376139;2.1642103;0.886588;0.12602139;0.06189668;-1.7733662;-2.1597373;-1.6126488;-1.9251549;-2.4576328;-4.396794;-3.1816728;-2.4324698;-5.1516786;-3.7758403;-2.9933574;-2.0956128;-3.7555475;-1.8959335;0.516451;-1.4340739;-2.2124982;-0.74169034;-0.12885368;1.4604629;2.3330445;1.8719968;4.206458;4.6488366;2.6406808;1.2916285;3.0221815;2.538406;-0.99169517;0.74859846;-1.2011149;-1.9284017;-2.2749994;-3.8432117;-1.1962446;-2.462503;-2.7100728;-5.7166247;-5.822958;-7.166328;-7.5981545;-7.8457246;-6.8635626;-3.4641457;-3.5964537;-5.887894;-4.300201;-6.1817307;-6.8578806;-6.8189187;-5.2182384;1.1641909;-0.1848613;3.114716;3.1788406;2.2957063;1.0765268;-1.2960842;-0.68649447;-1.9316485;-4.876511;-6.1776724;-5.9552655;-6.9861298;-8.672851;-8.4309635;-5.4227877;-2.531498;2.3922992;4.2105165;6.816898;8.730084;7.620485;5.815255;3.9889212;3.0635786;-0.893479;-2.848874;-1.0371506;-4.113509;-6.258843;-7.0583715;-6.214199;-5.631396;-7.71017;-7.226394;-5.4999
-48.0;-27.0;-6.236115;-9.254843;-9.149322;-8.858731;-8.953701;-7.3765593;-5.381391;4.2511015;6.1740284;7.5831466;10.608368;9.117268;7.510093;7.947602;8.958984;8.289329;9.171651;7.9995513;6.899692;6.4029293;6.740598;5.745449;4.9183226;4.6602006;4.6683173;6.4662423;6.9646287;8.583166;7.092878;5.217841;4.707279;5.1813145;3.6958961;2.62607;1.3070508;0.3670975;0.5115808;-1.3447864;-1.81801;-1.0696187;-1.488458;-2.4957829;-4.705241;-3.26122;-2.0680149;-4.959305;-3.6151228;-3.0331311;-1.9860327;-3.147581;-1.9835975;0.8800944;-1.058255;-1.7441449;-0.6694487;0.3670975;1.9677778;2.4556122;2.102521;4.1455803;4.7640986;2.7275329;1.3589998;2.6812658;2.4872684;-1.2360182;0.4304104;-1.4340739;-1.7449566;-2.3480527;-3.5550566;-1.31313;-2.341559;-3.3440137;-5.820523;-6.4439116;-7.3351626;-8.247519;-8.747528;-7.9764085;-4.9292717;-5.0567093;-6.955285;-5.995039;-6.831906;-8.097353;-7.482081;-6.6241097;-0.13372397;-0.9567919;3.010006;3.246212;2.085475;1.2112697;-2.0322998;-1.2084202;-2.0355465;-5.566459;-6.784015;-6.365988;-7.1346717;-8.858731;-9.119288;-6.234492;-4.089158;0.7713262;3.0798125;7.054727;8.263354;7.8631845;5.493009;3.624466;2.9889016;-1.0209165;-2.7595868;-1.5477124;-4.2052317;-6.5088477;-7.1638927;-6.417125;-5.5307446;-8.193946;-7.825432;-6.5015426
-47.75;-29.0;-6.2913113;-9.262148;-9.453711;-9.422866;-9.22968;-9.063281;-8.415541;3.0254283;4.6114984;7.8607497;10.890841;9.43302;8.325855;7.963836;9.467112;8.795833;9.619712;8.181373;7.08476;6.663486;7.128593;6.074189;5.0279026;4.9272513;5.143976;7.2389846;7.4922357;8.414331;7.4151244;5.3485255;5.1593986;5.527912;3.7243056;2.9905252;1.5911473;0.65200555;0.8671073;-0.9624738;-1.4373207;-0.63048685;-0.93974614;-2.4284115;-4.608649;-3.150828;-1.4697889;-4.840796;-3.8204837;-2.9129987;-1.7384629;-2.6475716;-1.6597277;1.1049365;-0.6386039;-1.2457585;-0.5217185;0.77700794;2.4166503;2.3419733;2.0481367;3.8119698;4.7640986;2.8533473;1.2624072;2.2681084;2.4515533;-1.4681655;0.012382746;-1.5136209;-1.5550178;-2.3521113;-3.2173877;-1.4097228;-2.253895;-3.8894787;-6.0372477;-6.817295;-7.597343;-9.0511055;-9.642026;-8.680157;-5.882212;-6.433359;-8.006442;-7.007234;-7.0965214;-8.859543;-8.131444;-7.5315948;-2.152432;-2.6995206;2.4507418;3.166665;1.6706942;0.77376115;-2.830205;-1.6167073;-2.2628238;-6.0210137;-6.9520383;-6.496672;-7.103015;-8.816523;-9.413125;-6.818107;-4.9698567;-1.7571322;0.8849646;7.104242;7.8891597;7.992246;5.1293654;3.331441;2.9434462;-1.1134508;-2.7750092;-2.0322998;-4.1889977;-6.4098196;-7.2580504;-6.374105;-5.5770116;-8.382261;-8.068943;-7.092463
