jan_U,fev_U,mar_U,abr_U,mai_U,jun_U,jul_U,ago_U,ste_U,out_U,nov_U,dez_U,longitude,latitude
-2.6131703853607178,-2.692074775695801,-2.8583853244781494,-0.3642726540565491,-0.2236662209033966,1.249265193939209,0.7243477702140808,-0.14143991470336914,-1.877618432044983,-2.3175015449523926,-2.411285400390625,-2.4495856761932373,-48.0,-29.0
-2.4226455688476562,-2.4854304790496826,-2.7338767051696777,-0.37035611271858215,-0.13841380178928375,1.2064223289489746,0.7037575840950012,0.044854000210762024,-1.6702595949172974,-2.105882406234741,-2.278106927871704,-2.2529964447021484,-48.0,-28.75
-2.244075298309326,-2.309330940246582,-2.593454360961914,-0.37517961859703064,-0.012409956194460392,1.2042533159255981,0.7404631972312927,0.2771865725517273,-1.4671441316604614,-1.9337515830993652,-2.153862953186035,-2.059685468673706,-48.0,-28.5
-2.0158498287200928,-2.112509250640869,-2.396723985671997,-0.32028859853744507,0.13530176877975464,1.256201982498169,0.8213431239128113,0.5359134078025818,-1.2379119396209717,-1.7120757102966309,-1.9809815883636475,-1.8164035081863403,-48.0,-28.25
-1.8049036264419556,-1.96281898021698,-2.2466673851013184,-0.2556186616420746,0.23061233758926392,1.353896141052246,0.9279200434684753,0.772363007068634,-1.0657730102539062,-1.5706827640533447,-1.863948106765747,-1.647843599319458,-48.0,-28.0
-1.651693344116211,-1.857312560081482,-2.154667854309082,-0.26509448885917664,0.2262204885482788,1.348737120628357,0.9490578174591064,0.88032466173172,-1.012218952178955,-1.5312503576278687,-1.8080612421035767,-1.5285133123397827,-48.0,-27.75
-1.7104359865188599,-1.9607985019683838,-2.225417375564575,-0.47363752126693726,0.06138799339532852,1.235622525215149,0.8931713104248047,0.7343374490737915,-1.17835533618927,-1.7174018621444702,-1.9789789915084839,-1.640863060951233,-48.0,-27.5
-1.8283450603485107,-2.116591215133667,-2.303227663040161,-0.7456546425819397,-0.17570924758911133,0.9839015603065491,0.7293786406517029,0.4030765891075134,-1.4520041942596436,-1.9217232465744019,-2.197258234024048,-1.8075575828552246,-48.0,-27.25
-1.924640417098999,-2.21870756149292,-2.312220811843872,-0.9944512248039246,-0.41075125336647034,0.6495926976203918,0.4764519929885864,0.0028768405318260193,-1.7519456148147583,-2.0554609298706055,-2.3727030754089355,-1.9516375064849854,-48.0,-27.0
-2.4898524284362793,-2.670231342315674,-2.8071722984313965,-0.24904204905033112,-0.1488034576177597,1.3509572744369507,0.8344560265541077,-0.049069590866565704,-1.8596322536468506,-2.2480945587158203,-2.3396012783050537,-2.322953462600708,-47.75,-29.0
-2.3894827365875244,-2.5768887996673584,-2.7921924591064453,-0.31924909353256226,-0.09978824853897095,1.2966457605361938,0.7932751774787903,0.10877145081758499,-1.7503795623779297,-2.151387929916382,-2.2729101181030273,-2.221916675567627,-47.75,-28.75
-2.2979891300201416,-2.4979631900787354,-2.7400851249694824,-0.3597874939441681,-0.002387623069807887,1.2879029512405396,0.816291868686676,0.35149872303009033,-1.599813461303711,-2.063422679901123,-2.2122111320495605,-2.110991954803467,-47.75,-28.5
-2.1315314769744873,-2.3812246322631836,-2.625389337539673,-0.3551613390445709,0.09409954398870468,1.2702980041503906,0.8181721568107605,0.5659056901931763,-1.4440670013427734,-1.9295521974563599,-2.1034061908721924,-1.9080170392990112,-47.75,-28.25
-1.9815640449523926,-2.2767231464385986,-2.5569875240325928,-0.3808984160423279,0.1535423994064331,1.2643650770187378,0.8270739316940308,0.7055982947349548,-1.3669615983963013,-1.8521064519882202,-2.059325933456421,-1.77580988407135,-47.75,-28.0
-1.9183911085128784,-2.211919069290161,-2.5307083129882812,-0.4531199038028717,0.1281437873840332,1.2004046440124512,0.7816157937049866,0.7039647102355957,-1.3931753635406494,-1.8711304664611816,-2.0868289470672607,-1.7690272331237793,-47.75,-27.75
-1.8922157287597656,-2.187296152114868,-2.4981377124786377,-0.5944424271583557,0.03228152170777321,1.0940083265304565,0.7002894282341003,0.5647316575050354,-1.4938727617263794,-1.952954649925232,-2.155524253845215,-1.806960940361023,-47.75,-27.5
-1.9220106601715088,-2.2130916118621826,-2.467526435852051,-0.7931432723999023,-0.10769786685705185,0.9213935136795044,0.5487986207008362,0.3170560896396637,-1.6637072563171387,-2.054274797439575,-2.2713069915771484,-1.878558874130249,-47.75,-27.25
-2.0344486236572266,-2.3264355659484863,-2.487778425216675,-1.0530824661254883,-0.3248801529407501,0.6373135447502136,0.314411461353302,-0.046563275158405304,-1.9463475942611694,-2.202695369720459,-2.4755516052246094,-2.038367748260498,-47.75,-27.0
-2.1738932132720947,-2.4610249996185303,-2.5334291458129883,-1.3512516021728516,-0.5697632431983948,0.3078676164150238,0.023275986313819885,-0.4108835458755493,-2.245270252227783,-2.3751437664031982,-2.7173376083374023,-2.2412312030792236,-47.75,-26.75
-2.5017268657684326,-2.7639517784118652,-2.8732285499572754,-0.23076947033405304,-0.14480799436569214,1.3992705345153809,0.926435649394989,-0.03755909949541092,-1.946143627166748,-2.2965922355651855,-2.4038052558898926,-2.3627607822418213,-47.5,-29.0
-2.4199273586273193,-2.691845417022705,-2.8658151626586914,-0.300017386674881,-0.09912586957216263,1.3370964527130127,0.888105571269989,0.07398625463247299,-1.8630925416946411,-2.2249317169189453,-2.3589327335357666,-2.2799432277679443,-47.5,-28.75
-2.346104383468628,-2.640690803527832,-2.8401575088500977,-0.3792881965637207,-0.06386542320251465,1.2687689065933228,0.837428867816925,0.19274553656578064,-1.8027089834213257,-2.1910369396209717,-2.3231260776519775,-2.179748058319092,-47.5,-28.5
-2.2317252159118652,-2.566977024078369,-2.7794365882873535,-0.4322599768638611,-0.019586393609642982,1.1978092193603516,0.7588003873825073,0.3078461289405823,-1.7344881296157837,-2.141993761062622,-2.2754878997802734,-2.0360021591186523,-47.5,-28.25
