longitude,latitude
-48.0,-29.0
-48.0,-28.75
-48.0,-28.5
-48.0,-28.25
-48.0,-28.0
-48.0,-27.75
-48.0,-27.5
-48.0,-27.25
-48.0,-27.0
-47.75,-29.0
-47.75,-28.75
-47.75,-28.5
-47.75,-28.25
-47.75,-28.0
-47.75,-27.75
-47.75,-27.5
-47.75,-27.25
-47.75,-27.0
-47.75,-26.75
-47.5,-29.0
-47.5,-28.75
-47.5,-28.5
-47.5,-28.25
-47.5,-28.0
-47.5,-27.75
-47.5,-27.5
-47.5,-27.25
-47.5,-27.0
-47.5,-26.75
-47.5,-26.5
-47.25,-29.0
-47.25,-28.75
-47.25,-28.5
-47.25,-28.25
-47.25,-28.0
-47.25,-27.75
-47.25,-27.5
-47.25,-27.25
-47.25,-27.0
-47.25,-26.75
-47.25,-26.5
-47.25,-26.25
-47.25,-26.0
-47.0,-29.0
-47.0,-28.75
-47.0,-28.5
-47.0,-28.25
-47.0,-28.0
-47.0,-27.75
-47.0,-27.5
-47.0,-27.25
-47.0,-27.0
-47.0,-26.75
-47.0,-26.5
-47.0,-26.25
-47.0,-26.0
-47.0,-25.75
-46.75,-29.0
-46.75,-28.75
-46.75,-28.5
-46.75,-28.25
-46.75,-28.0
-46.75,-27.75
-46.75,-27.5
-46.75,-27.25
-46.75,-27.0
-46.75,-26.75
-46.75,-26.5
-46.75,-26.25
-46.75,-26.0
-46.75,-25.75
-46.75,-25.5
-46.5,-29.0
-46.5,-28.75
-46.5,-28.5
-46.5,-28.25
-46.5,-28.0
-46.5,-27.75
-46.5,-27.5
-46.5,-27.25
-46.5,-27.0
-46.5,-26.75
-46.5,-26.5
-46.5,-26.25
-46.5,-26.0
-46.5,-25.75
-46.5,-25.5
-46.25,-29.0
-46.25,-28.75
-46.25,-28.5
-46.25,-28.25
-46.25,-28.0
-46.25,-27.75
-46.25,-27.5
-46.25,-27.25
-46.25,-27.0
-46.25,-26.75
-46.25,-26.5
-46.25,-26.25
-46.25,-26.0
-46.25,-25.75
-46.25,-25.5
-46.25,-25.25
-46.0,-29.0
-46.0,-28.75
-46.0,-28.5
-46.0,-28.25
-46.0,-28.0
-46.0,-27.75
-46.0,-27.5
-46.0,-27.25
-46.0,-27.0
-46.0,-26.75
-46.0,-26.5
-46.0,-26.25
-46.0,-26.0
-46.0,-25.75
-46.0,-25.5
-46.0,-25.25
-46.0,-25.0
-45.75,-29.0
-45.75,-28.75
-45.75,-28.5
-45.75,-28.25
-45.75,-28.0
-45.75,-27.75
-45.75,-27.5
-45.75,-27.25
-45.75,-27.0
-45.75,-26.75
-45.75,-26.5
-45.75,-26.25
-45.75,-26.0
-45.75,-25.75
-45.75,-25.5
-45.75,-25.25
-45.75,-25.0
-45.75,-24.75
-45.5,-29.0
-45.5,-28.75
-45.5,-28.5
-45.5,-28.25
-45.5,-28.0
-45.5,-27.75
-45.5,-27.5
-45.5,-27.25
-45.5,-27.0
-45.5,-26.75
-45.5,-26.5
-45.5,-26.25
-45.5,-26.0
-45.5,-25.75
-45.5,-25.5
-45.5,-25.25
-45.5,-24.75
-45.5,-25.0
-45.25,-29.0
-45.25,-28.75
-45.25,-28.5
-45.25,-28.25
-45.25,-28.0
-45.25,-27.75
-45.25,-27.5
-45.25,-27.25
-45.25,-27.0
-45.25,-26.75
-45.25,-26.5
-45.25,-26.25
-45.25,-26.0
-45.25,-25.75
-45.25,-25.5
-45.25,-25.25
-45.25,-25.0
-45.25,-24.75
-45.25,-24.5
-45.0,-29.0
-45.0,-28.75
-45.0,-28.5
-45.0,-28.25
-45.0,-28.0
-45.0,-27.75
-45.0,-27.5
-45.0,-27.25
-45.0,-27.0
-45.0,-26.75
-45.0,-26.5
-45.0,-26.25
-45.0,-26.0
-45.0,-25.75
-45.0,-25.5
-45.0,-25.25
-45.0,-25.0
-45.0,-24.75
-45.0,-24.5
-45.0,-24.25
-44.75,-29.0
-44.75,-28.75
-44.75,-28.5
-44.75,-28.25
-44.75,-28.0
-44.75,-27.75
-44.75,-27.5
-44.75,-27.25
-44.75,-27.0
-44.75,-26.75
-44.75,-26.5
-44.75,-26.25
-44.75,-26.0
-44.75,-25.75
-44.75,-25.5
-44.75,-25.25
-44.75,-25.0
-44.75,-24.75
-44.75,-24.5
-44.75,-24.25
-44.75,-24.0
-44.5,-29.0
-44.5,-28.75
-44.5,-28.5
-44.5,-28.25
-44.5,-28.0
-44.5,-27.75
-44.5,-27.5
-44.5,-27.25
-44.5,-27.0
-44.5,-26.75
-44.5,-26.5
-44.5,-26.25
-44.5,-26.0
-44.5,-25.75
-44.5,-25.5
-44.5,-25.25
-44.5,-25.0
-44.5,-24.75
-44.5,-24.5
-44.5,-24.25
-44.5,-24.0
-44.25,-29.0
-44.25,-28.75
-44.25,-28.5
-44.25,-28.25
-44.25,-28.0
-44.25,-27.75
-44.25,-27.5
-44.25,-27.25
-44.25,-27.0
-44.25,-26.75
-44.25,-26.5
-44.25,-26.25
-44.25,-26.0
-44.25,-25.75
-44.25,-25.5
-44.25,-25.25
-44.25,-25.0
-44.25,-24.75
-44.25,-24.5
-44.25,-24.25
-44.25,-24.0
-44.0,-29.0
-44.0,-28.75
-44.0,-28.5
-44.0,-28.25
-44.0,-28.0
-44.0,-27.75
-44.0,-27.5
-44.0,-27.25
-44.0,-27.0
-44.0,-26.75
-44.0,-26.5
-44.0,-26.25
-44.0,-26.0
-44.0,-25.75
-44.0,-25.5
-44.0,-25.25
-44.0,-25.0
-44.0,-24.75
-44.0,-24.5
-44.0,-24.25
-44.0,-24.0
-44.0,-23.75
-43.75,-29.0
-43.75,-28.75
-43.75,-28.5
-43.75,-28.25
-43.75,-28.0
-43.75,-27.75
-43.75,-27.5
-43.75,-27.25
-43.75,-27.0
-43.75,-26.75
-43.75,-26.5
-43.75,-26.25
-43.75,-26.0
-43.75,-25.75
-43.75,-25.5
-43.75,-25.25
-43.75,-25.0
-43.75,-24.75
-43.75,-24.5
-43.75,-24.25
